,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2010-08-05,38.52,41.23,41.45,64.06,254.52,59.44,50.86,30.92,23.24,57.63,40.87,44.39,149.43,35.58,26.02,47.6,14.84,31.27,14.43,127.83,31.99,44.44,25.71,80.81,17.8,26.82,124.56,71.11,26.07,38.03,28.73,44.07,67.01,43.08,13.84,33.03,30.25,26.56,23.75,27.53,15.79,12.48,17.94,72.24,53.98,65.72,45.33,33.11,58.15,43.41,12.7,5.02,9.0,14.16,57.77,38.11,63.71,22.76,48.85,25.47
2010-08-06,38.0,41.5,41.19,64.05,252.95,59.73,49.96,31.22,23.4,57.61,40.26,44.26,148.72,35.29,25.85,47.75,14.78,31.67,14.48,128.32,31.84,44.45,25.88,80.41,17.52,26.7,123.58,70.81,25.94,37.71,28.47,44.0,66.64,43.18,13.78,33.88,29.77,26.53,23.81,28.18,15.58,12.54,17.48,72.52,54.12,65.76,45.59,33.74,58.16,39.19,12.69,5.04,8.95,14.34,57.09,37.34,64.88,22.67,49.26,25.09
2010-08-09,38.26,41.73,41.47,64.32,254.57,60.2,50.25,31.5,23.46,58.12,40.95,44.64,148.93,35.18,26.17,48.0,14.71,31.7,14.64,128.83,32.26,44.64,26.05,81.09,17.6,26.87,125.34,71.31,26.39,37.97,28.62,44.38,67.12,43.23,13.73,34.47,29.99,26.55,24.03,28.2,15.72,12.55,17.78,72.07,54.45,66.22,46.17,33.49,58.65,39.89,12.56,5.04,9.1,14.4,57.53,36.77,65.95,23.32,49.33,25.13
2010-08-10,37.96,42.06,41.33,63.97,252.29,60.3,48.49,31.98,22.96,58.25,39.91,44.51,147.5,35.97,26.05,48.15,14.6,31.1,14.77,130.0,31.52,45.3,25.99,80.24,17.49,26.97,125.19,71.09,25.96,37.75,28.31,43.65,66.51,42.51,13.45,33.27,29.44,26.13,23.7,28.09,15.52,12.43,17.75,71.87,54.81,65.74,47.06,33.25,58.44,39.64,12.04,5.0,8.98,14.35,57.05,36.17,65.87,22.89,48.55,25.25
2010-08-11,37.06,40.98,40.11,61.16,243.32,59.32,45.55,31.17,22.77,57.46,37.86,42.84,143.04,35.27,25.6,47.32,14.1,29.8,14.26,125.89,30.37,44.13,25.56,77.47,16.92,25.83,123.28,69.37,24.59,36.61,27.3,41.58,63.99,40.74,13.02,31.32,28.6,25.64,23.35,27.45,14.78,11.93,17.16,69.82,54.35,64.05,46.29,31.96,55.92,38.18,11.71,4.87,8.65,13.87,56.03,34.87,64.73,22.35,46.73,24.5
2010-08-12,36.95,40.21,39.81,60.32,244.88,59.08,45.81,31.81,22.43,57.56,37.69,42.51,143.2,35.53,25.87,46.77,13.92,29.69,14.44,126.56,30.42,44.3,25.4,77.39,17.07,25.63,121.83,69.32,24.31,36.86,27.61,41.2,62.86,41.46,12.89,30.71,28.32,25.54,22.82,27.38,14.6,11.8,16.96,70.15,54.1,63.49,45.79,32.35,55.37,37.59,11.6,4.82,8.49,13.85,55.88,34.91,65.17,20.11,46.4,24.55
2010-08-13,36.73,39.81,39.94,60.45,242.26,59.42,45.16,32.61,22.35,57.19,37.31,42.11,141.92,35.24,26.0,46.74,13.82,30.01,14.33,124.69,30.3,44.38,25.42,77.39,16.79,25.18,121.42,69.61,24.16,36.45,27.38,40.95,63.33,41.31,13.06,30.36,28.34,25.27,22.7,27.38,14.53,11.68,16.79,69.87,53.94,63.7,46.03,32.06,55.33,37.88,11.62,4.81,8.41,13.83,55.59,34.62,65.01,20.11,46.44,24.25
2010-08-16,36.67,39.63,39.96,60.04,240.84,59.3,45.35,32.53,22.44,57.45,37.32,42.29,141.61,35.14,26.02,46.75,13.89,29.6,14.29,126.07,30.58,44.74,25.49,76.85,16.68,25.27,121.32,69.89,24.01,36.51,27.38,41.03,63.78,41.43,13.02,29.77,28.24,25.33,22.94,27.33,14.62,11.53,16.93,70.48,53.9,63.01,46.3,32.17,55.1,37.97,11.57,4.84,8.42,13.79,55.56,34.8,64.92,20.63,46.16,24.36
2010-08-17,37.3,39.82,40.58,61.52,245.05,59.41,46.46,32.59,22.75,57.28,38.05,42.97,142.41,35.26,26.21,47.32,14.0,30.03,14.5,128.86,31.43,44.97,25.59,77.46,16.69,25.51,121.97,70.6,23.69,37.44,27.55,41.51,64.95,41.84,13.04,30.15,28.49,26.19,23.1,27.16,14.48,11.69,16.95,70.65,54.37,63.43,46.54,32.52,56.85,38.23,11.67,4.87,8.62,13.94,56.43,34.61,66.22,20.76,47.22,24.55
2010-08-18,37.0,39.77,40.38,61.53,246.12,59.38,46.97,32.5,22.85,57.6,38.07,43.25,142.99,35.43,26.2,47.17,14.1,29.88,14.35,129.65,31.44,45.2,25.47,77.5,17.02,25.94,122.86,69.94,23.73,37.44,27.71,41.33,64.96,41.79,13.15,30.49,28.88,26.7,23.29,27.23,14.74,11.73,17.18,70.63,54.78,64.52,46.32,32.82,56.98,38.73,11.79,4.96,8.64,13.99,55.81,34.98,66.24,21.1,47.8,24.77
2010-08-19,36.52,39.07,39.29,60.24,243.02,58.6,45.37,31.88,22.5,57.17,36.92,42.63,140.93,35.4,26.16,46.43,13.7,29.92,14.29,127.57,30.42,45.1,25.21,75.84,16.76,25.42,122.4,68.85,22.84,36.69,27.21,40.17,64.53,42.26,12.85,29.43,28.2,26.11,22.94,27.03,14.49,11.43,16.77,71.26,54.28,64.01,45.32,32.98,55.28,38.17,11.65,4.95,8.45,13.85,55.01,34.23,65.99,20.92,46.84,24.31
2010-08-20,35.97,38.88,39.06,60.23,242.79,58.73,45.65,32.1,22.31,57.1,36.61,42.39,142.07,35.07,26.43,46.57,13.5,29.51,14.19,127.76,30.42,44.88,25.22,74.77,16.74,25.31,121.07,68.13,23.0,36.47,26.7,39.6,64.13,41.96,12.7,29.11,27.88,26.06,23.1,27.01,14.31,11.32,16.68,70.43,54.09,64.12,45.22,32.77,54.92,37.32,11.68,4.89,8.37,13.79,54.64,34.29,66.09,20.93,47.09,24.08
2010-08-23,35.85,38.35,38.83,59.01,239.05,58.75,45.16,32.5,22.36,57.32,35.85,42.21,140.63,34.84,26.45,47.43,13.38,28.94,14.35,126.6,30.03,44.3,25.36,75.16,16.4,25.49,120.09,68.13,22.65,36.49,27.16,39.54,62.25,41.18,12.7,29.01,27.7,25.75,22.79,27.05,14.16,11.17,16.39,69.96,54.13,63.49,45.37,32.49,54.1,36.56,11.55,4.85,8.21,13.65,55.21,34.05,66.33,20.42,46.36,23.93
2010-08-24,35.67,37.75,38.62,56.8,233.34,58.71,43.72,31.79,22.14,57.11,35.3,41.6,137.96,34.81,25.96,47.58,13.09,28.07,14.1,124.53,29.01,44.41,25.38,74.57,15.98,24.88,118.6,66.98,22.1,35.79,26.65,38.82,60.57,41.02,12.48,28.37,27.42,25.7,22.69,27.18,14.01,10.81,15.97,69.76,53.8,62.41,45.2,32.54,52.77,35.95,11.21,4.84,7.9,13.4,54.69,33.43,65.77,19.9,45.43,23.83
2010-08-25,35.69,37.97,38.58,56.65,236.22,58.52,44.3,32.0,22.19,56.89,35.45,41.78,138.66,34.72,25.54,47.81,13.09,28.3,14.25,126.85,29.14,44.71,25.26,74.85,16.28,24.95,118.95,67.24,22.06,35.9,26.74,38.61,60.25,40.6,12.5,28.48,27.56,26.21,22.73,27.46,13.9,10.89,16.49,69.06,53.81,62.78,45.09,32.23,51.97,35.81,11.41,4.8,8.02,13.26,54.66,33.45,66.19,19.97,45.4,24.03
2010-08-26,34.99,37.9,38.61,57.17,233.69,58.12,42.66,32.11,21.93,56.55,35.43,41.72,135.91,34.13,25.21,47.27,13.02,28.01,14.17,124.86,28.92,44.9,25.16,73.95,16.0,24.84,116.59,66.57,21.96,35.7,26.48,38.38,59.55,40.56,12.31,28.14,27.51,26.26,22.28,27.3,13.54,10.74,16.64,68.72,53.69,62.66,44.91,32.43,51.82,35.79,11.37,4.84,7.9,13.21,54.26,32.9,66.16,19.49,45.22,24.23
2010-08-27,35.66,39.03,39.49,58.88,234.99,58.12,44.36,32.47,22.04,56.88,36.5,42.13,133.93,34.25,25.38,47.3,13.21,28.88,14.34,126.64,29.63,45.97,25.61,75.08,16.21,25.42,118.44,68.02,22.44,37.07,26.24,39.06,61.37,41.35,12.48,29.14,28.09,26.59,22.58,27.84,13.93,11.12,16.66,69.36,53.92,63.3,45.9,33.25,52.32,35.59,11.5,4.84,8.06,13.43,55.48,33.79,66.91,19.6,45.93,24.46
2010-08-30,35.16,38.05,39.46,57.89,235.84,57.64,43.02,32.22,21.77,56.61,35.68,41.51,131.3,34.07,25.26,46.88,13.04,28.49,14.14,123.79,28.69,46.02,25.33,73.83,15.97,25.17,117.18,66.98,21.74,36.45,26.16,38.07,60.04,41.54,12.16,28.14,27.39,25.9,21.74,27.56,13.86,10.92,16.4,68.25,53.54,62.05,45.19,33.11,51.59,36.11,11.63,4.78,7.9,13.18,54.74,33.1,66.28,19.13,44.91,23.92
2010-08-31,35.0,38.03,39.21,56.99,236.43,58.17,41.88,31.98,21.61,56.82,35.73,41.26,131.56,34.06,24.97,46.5,13.01,27.99,14.18,124.83,28.98,46.42,25.49,72.81,16.07,25.15,116.92,67.25,22.02,36.86,25.74,38.39,60.68,40.91,12.3,28.09,27.77,25.96,21.52,27.76,13.64,10.86,16.48,67.84,53.81,61.43,45.52,32.93,50.95,36.01,11.39,4.75,7.89,13.11,54.84,33.57,66.57,18.82,44.81,24.04
2010-09-01,36.09,39.18,40.23,58.07,243.46,59.26,43.54,33.16,22.01,57.7,36.83,42.38,134.26,34.56,25.72,47.48,13.48,28.92,14.51,132.49,30.45,47.13,26.14,75.09,16.86,26.11,119.43,69.69,23.06,37.97,26.69,40.13,63.47,41.93,13.05,29.52,28.5,26.75,22.21,28.19,14.02,11.17,17.15,68.83,53.92,61.79,45.73,33.8,52.69,36.72,11.72,4.84,8.23,13.37,56.51,34.85,67.92,19.08,46.83,24.66
2010-09-02,36.34,39.0,40.76,59.1,245.25,59.33,45.01,33.3,22.04,58.14,37.71,42.92,134.3,34.52,26.29,48.0,13.61,29.06,14.62,135.21,31.45,46.87,26.17,75.89,16.99,26.11,118.73,70.31,23.47,38.05,27.01,40.49,63.83,41.92,13.12,29.73,29.09,27.44,22.48,28.17,14.4,11.26,17.45,68.22,54.17,62.14,45.84,34.0,53.76,37.16,11.96,4.8,8.33,13.51,56.65,35.23,68.35,19.32,47.74,24.66
2010-09-03,36.75,39.87,40.77,60.26,251.67,59.88,46.05,33.59,22.37,58.39,38.17,43.5,141.52,34.53,26.29,48.26,13.82,29.92,14.67,138.79,32.03,46.96,26.25,77.38,17.11,26.55,121.14,70.81,24.16,38.43,27.36,41.27,65.26,42.64,13.34,30.38,29.39,27.85,22.75,28.38,14.66,11.61,17.47,69.71,54.37,62.49,46.19,33.89,54.46,37.78,12.18,4.8,8.48,13.62,56.89,36.17,68.42,19.81,47.87,24.79
2010-09-07,35.82,38.24,40.78,59.13,250.73,59.8,44.36,33.27,22.06,58.54,37.38,42.47,139.52,34.48,26.46,48.1,13.87,29.52,14.56,137.22,31.52,47.12,26.28,76.14,16.73,26.14,119.6,69.95,23.3,37.97,26.88,39.93,64.91,42.2,13.05,29.44,28.56,27.37,22.09,28.17,14.64,11.35,17.25,69.24,54.23,61.49,45.88,33.18,53.34,37.39,11.92,4.84,8.31,13.53,56.18,35.34,69.06,19.38,46.81,24.24
2010-09-08,36.26,38.22,40.46,60.13,255.7,59.75,41.27,33.43,22.04,58.89,38.08,42.65,141.76,34.41,26.63,48.07,14.1,29.4,14.76,139.14,31.96,47.31,26.37,76.71,16.84,26.6,119.72,70.13,23.58,38.32,27.18,40.41,65.88,42.24,13.21,30.03,28.72,27.48,22.14,28.38,14.59,11.35,17.47,69.12,54.44,60.85,46.33,33.02,54.25,36.35,12.13,4.81,8.35,13.75,56.37,36.12,69.32,19.44,47.07,24.63
2010-09-09,36.54,38.82,40.59,59.14,255.85,60.36,41.4,33.77,22.11,58.93,38.71,43.42,143.29,34.39,26.68,48.14,14.29,29.65,14.95,140.38,32.18,47.53,26.58,76.9,16.9,27.01,119.99,70.23,24.02,38.13,27.43,40.71,65.78,43.07,13.34,30.04,28.74,27.44,22.29,28.53,14.56,11.3,17.54,70.7,54.37,61.3,46.63,33.43,54.55,36.35,11.98,4.79,8.53,13.65,56.64,37.03,67.76,19.41,47.26,24.82
2010-09-10,36.55,38.34,41.68,59.52,256.18,60.64,42.65,33.72,21.96,59.05,38.71,43.1,144.49,34.68,26.9,48.2,14.35,29.95,15.15,142.44,32.18,48.12,26.69,77.81,17.29,27.23,121.53,71.55,24.07,38.23,27.68,40.8,66.36,44.67,13.39,30.09,29.44,27.69,22.16,28.57,14.67,11.34,17.68,70.6,54.47,62.19,46.98,33.33,55.74,35.85,11.67,4.77,8.5,13.68,56.78,36.71,68.34,19.42,48.62,24.87
2010-09-13,36.97,39.32,41.51,59.84,259.71,60.5,42.04,33.75,23.12,59.26,39.32,43.99,148.32,34.62,26.99,48.42,14.6,30.13,15.13,145.07,32.78,48.37,26.67,78.66,17.31,27.68,123.07,71.94,24.78,38.69,27.89,41.61,67.27,45.03,13.78,30.56,29.55,27.98,22.87,28.72,15.02,11.53,18.06,70.29,54.54,61.37,47.02,33.86,56.7,35.92,11.91,4.94,9.16,13.73,56.6,37.97,67.94,20.02,48.69,24.93
2010-09-14,36.96,38.52,41.25,58.51,260.7,60.25,41.98,34.0,23.05,59.23,39.48,45.09,146.55,34.79,27.14,48.84,14.52,29.88,15.23,145.75,32.8,49.63,26.46,78.45,16.72,28.01,122.35,72.18,24.36,38.57,27.92,42.04,66.89,44.52,13.51,29.91,29.46,27.96,23.09,28.82,15.07,11.52,17.8,69.8,54.68,60.51,46.47,33.96,56.05,36.87,11.98,4.98,8.96,13.63,56.61,37.6,67.37,20.2,48.3,25.26
2010-09-15,37.09,38.97,40.92,58.48,262.8,60.73,41.89,34.23,23.13,59.36,39.36,45.11,146.58,35.18,27.13,49.02,14.68,30.69,15.39,145.45,32.57,49.36,26.39,78.4,16.95,28.39,122.9,71.91,24.63,38.81,28.08,41.83,67.17,45.45,13.54,29.93,29.41,27.94,23.07,29.32,15.0,11.42,17.73,71.22,55.11,60.51,46.73,34.8,55.87,37.18,11.9,4.91,9.1,14.27,56.6,37.84,68.07,20.33,48.01,25.28
2010-09-16,36.96,39.07,40.82,58.34,268.98,60.83,42.56,34.12,23.32,59.35,39.06,45.4,146.26,35.32,27.05,49.29,14.69,30.97,15.31,148.13,31.99,48.94,26.43,78.75,16.51,28.74,123.13,71.76,24.36,39.21,28.12,41.65,67.05,45.3,13.39,29.56,29.1,27.95,23.36,29.14,14.89,11.96,17.38,71.73,55.11,60.54,46.72,34.83,55.91,37.87,12.01,4.85,9.38,14.19,56.57,37.85,68.15,20.65,47.83,25.41
2010-09-17,36.9,39.46,40.97,58.69,267.81,60.38,41.79,34.05,23.22,59.15,39.2,45.62,145.06,35.69,27.13,49.16,14.74,30.92,15.21,148.32,32.28,49.29,26.45,79.78,16.58,28.81,123.62,71.23,24.32,39.73,28.46,40.59,68.15,44.72,13.24,29.5,28.94,27.89,24.05,29.09,14.7,12.01,17.13,71.51,54.98,61.63,46.35,34.94,57.17,36.73,12.04,4.81,9.43,13.89,56.39,36.99,67.72,20.58,48.77,25.04
2010-09-20,37.94,41.13,41.92,59.41,275.46,61.08,42.97,34.48,23.42,59.63,39.9,46.08,145.94,36.09,27.16,49.65,14.98,31.53,15.4,151.3,32.98,50.1,26.64,81.03,17.01,29.2,125.14,72.53,24.83,40.33,28.91,41.78,69.61,45.48,13.57,30.3,29.56,28.6,24.18,29.3,14.91,12.09,17.31,72.18,55.39,62.48,46.57,35.41,58.02,36.97,12.26,4.92,9.67,13.86,57.11,38.03,68.44,20.48,49.47,25.72
2010-09-21,37.73,40.81,41.32,59.88,275.98,60.69,42.82,34.5,23.16,59.28,40.57,46.34,145.46,36.23,27.61,49.68,14.95,30.96,15.28,150.73,32.68,49.93,26.7,80.23,17.04,29.31,125.32,72.4,24.66,40.53,28.66,42.01,71.14,45.77,13.48,30.31,29.52,28.84,24.12,29.35,14.84,12.07,17.06,71.63,55.48,63.31,46.15,35.2,58.01,37.46,12.19,4.82,9.58,14.18,57.1,37.48,68.8,20.38,49.33,25.85
2010-09-22,37.42,40.82,40.92,59.57,279.85,60.87,43.23,34.33,22.66,59.5,40.38,46.09,142.27,36.19,27.67,49.91,14.93,30.28,15.35,151.83,31.94,49.67,26.76,80.3,16.87,29.31,125.88,71.94,24.13,40.34,28.71,41.73,70.94,45.31,13.26,29.53,28.95,28.81,23.79,29.06,14.51,11.91,16.69,71.55,55.72,63.44,46.52,34.57,57.33,37.12,11.98,4.72,9.52,14.04,57.02,36.88,68.45,20.41,48.9,26.0
2010-09-23,36.86,40.41,40.18,58.41,280.99,60.08,42.21,33.71,22.5,59.25,39.17,45.97,139.23,36.01,27.41,49.76,14.61,30.06,15.19,152.85,31.33,49.8,26.59,79.28,16.84,29.12,125.03,71.3,23.41,40.16,28.52,41.04,71.02,44.96,13.01,29.03,28.5,28.78,24.1,29.02,14.4,11.84,16.61,70.97,55.2,63.33,46.33,34.36,56.52,37.68,11.75,4.74,9.48,14.17,56.74,36.1,68.01,20.27,48.89,25.89
2010-09-24,37.62,41.14,40.95,60.23,284.3,60.39,43.93,34.6,22.82,58.87,40.28,47.12,141.51,36.22,28.2,50.15,15.08,31.0,15.51,160.73,32.82,50.88,26.94,80.61,17.45,29.91,127.34,72.73,23.93,41.2,29.58,42.2,74.25,45.52,13.44,30.19,29.06,29.52,25.18,29.65,14.55,12.08,16.95,73.06,55.58,64.62,46.73,35.15,58.07,38.46,12.24,4.82,9.82,14.5,57.29,36.7,68.43,20.8,49.95,26.35
2010-09-27,37.56,41.44,40.5,59.56,283.17,60.61,44.73,34.46,22.77,58.22,39.87,46.99,140.28,36.41,28.19,49.6,14.87,30.86,15.31,159.37,32.55,51.04,26.93,79.9,17.21,29.38,127.86,72.7,23.87,40.95,29.2,42.05,74.07,45.72,13.08,30.74,28.65,29.49,24.95,29.51,14.6,12.0,16.93,72.4,55.04,63.96,46.38,35.31,57.57,38.72,12.23,4.77,9.8,14.28,57.26,36.08,68.12,20.82,49.9,26.66
2010-09-28,38.11,41.68,40.86,60.15,278.99,60.98,46.05,34.27,22.73,57.68,40.17,47.23,139.32,36.35,31.4,49.91,14.88,30.77,15.54,159.7,32.9,51.37,27.16,80.68,17.23,29.65,128.09,73.42,23.7,41.29,30.0,42.51,74.19,46.0,13.11,30.89,28.69,29.68,25.3,29.48,14.77,12.04,17.19,73.15,54.66,64.04,46.42,35.57,57.7,39.06,12.3,4.8,9.89,14.39,57.58,35.96,68.0,20.58,50.1,27.05
2010-09-29,38.29,41.03,40.66,61.5,279.48,60.95,44.68,33.96,22.56,57.98,39.98,47.02,138.76,36.12,31.24,49.48,14.8,31.45,15.51,158.99,32.5,51.27,27.0,80.8,17.06,29.56,128.65,73.79,23.41,40.25,29.85,42.58,74.49,46.86,12.95,31.0,28.43,29.68,25.1,29.23,14.94,11.86,17.05,73.0,54.33,63.52,46.39,35.58,57.5,39.91,12.57,4.83,9.64,14.34,57.15,35.46,67.83,20.59,49.84,26.88
2010-09-30,38.34,40.09,40.81,62.03,275.96,60.67,43.64,33.79,22.55,57.97,39.82,46.73,138.91,35.45,31.12,49.64,14.7,30.92,15.31,157.06,32.47,51.0,26.89,80.38,16.99,29.23,127.37,73.58,23.49,40.34,30.02,42.46,73.27,46.72,12.94,32.37,28.4,29.56,25.38,28.9,15.15,11.77,17.2,71.58,54.08,62.98,46.28,35.59,57.28,39.48,12.55,4.63,9.7,14.17,57.33,35.14,67.89,20.62,50.2,26.81
2010-10-01,38.63,39.86,40.15,62.3,274.77,61.18,43.41,34.02,22.45,57.96,39.58,47.65,141.91,35.32,31.28,49.49,14.8,30.54,15.31,153.71,32.88,50.52,27.17,81.22,16.75,29.12,128.8,74.39,23.9,40.54,30.32,43.36,72.84,47.48,13.14,32.17,28.36,29.69,25.48,29.23,15.27,11.79,17.3,71.8,54.25,61.51,46.65,35.99,56.96,38.26,12.61,4.73,9.84,14.27,58.03,35.83,68.26,20.63,49.95,26.84
2010-10-04,38.22,37.25,40.01,61.84,270.99,61.06,42.8,34.02,22.02,58.09,38.99,47.03,140.82,35.25,30.75,49.68,14.57,30.48,15.07,155.39,33.26,50.45,27.06,80.37,16.68,28.9,128.43,73.81,23.73,40.16,29.98,42.33,71.96,46.79,12.99,32.52,27.94,29.55,25.44,28.98,14.92,12.35,17.29,70.79,54.07,61.28,46.35,35.76,56.31,38.14,12.48,4.58,9.78,14.28,57.7,36.01,68.29,20.49,49.76,26.6
2010-10-05,39.25,36.52,41.03,63.95,281.01,61.88,45.91,34.67,22.42,58.38,40.32,48.12,143.71,34.56,31.56,50.08,14.94,31.47,15.36,160.87,34.26,51.29,27.42,82.37,17.07,30.13,130.72,75.7,24.54,41.38,30.59,43.72,73.94,47.85,13.4,33.06,28.35,29.62,26.49,29.3,15.21,12.51,17.64,72.03,54.84,62.38,46.4,36.52,57.82,38.3,12.96,4.7,10.05,14.61,58.69,36.65,69.08,20.71,51.37,27.08
2010-10-06,39.85,36.44,41.34,63.94,281.25,62.2,47.54,34.81,22.5,58.86,40.33,48.43,144.93,34.12,31.64,50.6,15.29,31.49,15.39,155.4,34.31,51.15,27.48,83.33,16.78,30.03,130.89,76.15,24.59,41.47,30.92,44.16,73.64,47.03,13.23,33.72,28.21,29.62,26.47,29.32,15.09,12.73,17.39,71.19,54.89,62.65,46.27,36.25,58.42,38.23,12.79,4.89,10.06,14.52,59.33,36.89,68.85,21.0,51.4,27.19
2010-10-07,39.86,36.25,41.14,63.82,281.28,60.36,47.29,35.22,22.59,58.89,40.18,48.32,145.19,34.02,31.46,50.41,15.43,31.48,15.49,156.27,32.32,51.18,27.31,82.41,16.9,29.92,131.72,75.82,24.31,41.79,30.51,44.13,73.33,46.65,13.15,33.5,28.52,29.62,26.31,29.21,15.29,12.81,17.29,71.15,54.83,62.41,46.0,36.33,57.95,38.3,12.84,4.92,10.06,14.23,59.24,36.54,69.12,21.08,51.45,27.12
2010-10-08,39.79,36.41,40.87,64.54,286.0,60.04,49.53,35.62,22.62,59.22,40.8,48.67,146.68,34.55,31.56,50.46,15.49,32.26,15.56,155.55,32.78,51.44,27.3,82.65,17.0,30.07,131.85,76.2,24.26,42.18,29.81,44.19,74.85,46.8,13.02,33.86,29.01,29.76,26.86,28.97,15.48,13.14,17.19,71.07,55.78,61.94,45.79,36.79,58.17,38.62,13.24,4.97,10.26,14.49,59.73,36.34,69.34,21.17,51.57,26.92
2010-10-11,39.91,36.36,40.96,65.25,287.25,59.83,49.74,35.43,22.64,59.12,41.31,48.47,146.23,34.53,31.35,50.65,15.35,32.24,15.49,153.03,32.32,51.69,27.37,81.81,17.02,30.12,132.61,75.99,23.98,41.66,29.62,43.93,74.48,46.69,12.99,33.97,29.14,29.66,26.9,29.07,15.65,13.25,17.35,70.87,56.03,62.28,45.65,36.5,57.95,38.66,13.28,4.98,10.35,14.41,59.89,36.73,68.87,21.16,51.34,26.64
2010-10-12,39.79,36.94,41.07,65.47,290.35,60.34,49.8,35.45,22.86,59.44,41.17,49.17,149.13,34.57,31.62,50.01,15.56,31.89,15.58,156.48,32.4,52.36,27.39,81.71,17.02,29.84,132.8,76.11,24.29,41.85,29.53,43.65,73.89,47.16,13.36,34.59,28.78,29.31,26.82,29.18,15.55,13.25,17.59,70.05,55.93,62.34,45.84,36.14,58.17,38.81,13.47,4.95,10.46,14.43,60.03,37.35,68.86,21.3,51.13,26.58
2010-10-13,40.14,37.63,41.3,66.63,291.9,60.64,49.53,35.79,23.33,59.55,42.66,49.99,148.66,34.93,32.32,49.91,15.64,31.95,15.8,155.17,32.62,52.57,27.54,82.63,17.14,30.65,133.29,75.95,24.13,42.38,30.18,44.4,74.77,47.4,13.13,35.36,29.17,28.93,26.29,29.49,15.8,13.12,17.59,70.3,56.48,62.84,46.56,36.35,58.81,39.61,13.67,4.87,10.38,15.25,60.35,36.83,69.02,21.83,51.49,26.92
2010-10-14,40.27,37.8,40.97,66.53,294.01,60.85,48.86,35.61,23.23,59.21,42.31,50.61,145.65,34.98,32.04,49.38,15.53,32.22,15.74,155.53,32.56,52.43,27.53,82.57,17.36,30.67,134.36,76.16,23.11,42.03,29.81,45.0,74.42,47.76,12.45,34.72,29.1,28.75,26.47,29.78,15.71,13.38,17.42,72.37,56.63,62.03,46.16,36.81,57.99,39.54,13.8,4.82,10.34,15.93,60.59,35.8,70.19,21.72,51.19,27.07
2010-10-15,40.57,37.47,41.14,65.36,306.1,60.89,48.75,35.51,23.52,59.16,42.25,50.17,144.78,35.01,32.12,49.48,14.75,32.13,15.82,164.64,32.26,52.19,27.54,82.63,17.9,30.92,133.94,75.9,22.05,42.19,29.87,45.16,74.27,47.44,11.84,34.33,29.45,28.65,26.85,29.64,15.66,13.27,17.51,71.51,56.59,61.87,45.89,36.61,58.69,40.18,14.02,4.63,10.36,16.25,60.49,34.35,70.59,22.0,51.22,26.98
2010-10-18,40.89,37.91,42.6,65.47,309.27,60.73,49.3,35.58,23.78,59.54,42.57,49.99,147.67,35.39,31.96,49.86,14.7,32.95,15.87,163.56,32.16,52.85,27.57,83.11,17.96,30.99,135.62,76.69,23.25,42.59,29.81,45.57,74.72,47.65,12.19,34.98,29.4,28.49,26.52,29.65,15.96,13.35,17.52,72.58,57.13,61.89,45.91,36.99,59.09,40.65,14.18,4.72,10.51,15.93,61.5,35.32,70.45,21.94,51.01,26.81
2010-10-19,40.05,37.68,41.89,64.37,301.0,59.73,47.57,34.81,23.11,58.88,41.94,48.5,150.58,35.17,31.24,49.45,14.54,32.87,15.5,158.67,31.74,52.0,27.73,82.08,18.05,30.06,131.07,75.16,22.95,41.57,29.14,43.93,73.15,46.48,11.66,33.95,28.9,28.37,26.21,29.46,15.61,12.81,17.1,71.35,56.97,61.39,45.73,36.48,57.8,40.19,14.02,4.71,10.25,15.49,60.42,34.84,70.15,21.63,50.03,25.95
2010-10-20,40.9,38.08,42.52,66.53,302.01,59.33,47.8,34.99,23.31,59.34,42.95,48.97,153.34,35.6,31.61,49.59,14.52,33.21,15.74,158.67,32.65,52.61,28.1,82.94,18.31,30.67,132.05,76.27,23.93,42.56,29.69,44.76,74.8,46.64,11.61,34.44,29.38,28.67,26.27,29.78,15.7,13.12,17.31,71.69,57.58,61.7,45.84,36.65,58.59,40.18,14.21,4.78,10.39,15.8,61.25,35.22,70.53,22.03,50.63,26.39
2010-10-21,40.8,38.6,43.05,66.66,301.02,59.52,48.82,34.63,23.41,59.59,41.58,49.76,153.05,35.62,31.67,50.11,14.57,33.4,15.72,164.97,32.83,52.15,28.25,83.94,18.43,30.54,132.78,76.48,24.34,42.6,29.9,44.8,73.87,46.25,11.22,34.17,29.48,29.68,26.39,29.8,15.3,13.28,17.26,71.62,57.71,63.48,45.59,36.3,59.26,39.79,14.12,4.7,10.5,15.97,61.53,34.85,71.47,21.9,51.1,26.95
