,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-05-11,28.34,24.2,41.13,40.18,126.01,43.26,40.29,24.8,17.25,43.25,24.42,36.66,128.63,27.84,28.16,45.43,12.33,26.95,11.99,78.61,20.87,32.34,18.73,52.56,14.12,24.89,95.43,58.34,24.59,23.24,30.72,41.7,34.41,33.8,12.73,31.46,20.17,22.16,15.76,22.2,18.27,5.85,10.2,76.36,43.72,67.71,37.58,29.3,47.88,32.52,10.66,6.67,5.9,15.54,62.23,32.87,47.15,17.52,38.86,19.0
2009-05-12,28.55,23.65,41.31,39.62,121.01,42.99,40.35,25.65,17.76,43.46,24.46,36.73,128.28,28.41,28.46,45.67,11.89,26.84,12.65,77.93,20.26,32.93,19.45,52.94,13.92,24.97,96.39,59.36,23.82,23.64,31.08,42.51,34.08,34.83,12.06,29.97,19.55,21.9,15.36,22.38,17.7,4.82,9.87,76.62,44.21,68.77,37.79,29.54,48.92,32.48,10.84,6.57,5.57,15.1,63.62,32.44,46.78,17.63,38.95,19.75
2009-05-13,28.01,22.39,40.73,38.59,116.21,43.33,36.5,25.42,17.63,43.15,22.93,36.95,122.45,28.72,27.3,45.13,11.22,25.85,12.94,74.19,18.99,33.95,19.11,50.63,13.7,25.54,94.83,58.43,22.43,22.73,30.11,41.78,32.3,33.4,10.83,26.49,20.21,22.07,15.58,21.92,17.3,4.77,9.49,73.13,44.23,67.86,37.32,28.45,48.92,31.76,10.58,6.25,5.42,14.52,62.68,31.24,46.37,17.0,38.14,19.94
2009-05-14,28.1,22.98,40.58,39.03,119.58,44.39,37.44,25.79,17.91,42.32,23.5,37.21,126.56,28.4,27.28,44.29,11.33,26.26,13.0,75.11,19.29,34.2,19.67,51.52,13.61,25.41,93.71,58.21,23.81,23.02,30.1,41.6,32.29,33.16,11.13,30.46,19.94,21.8,16.01,22.11,17.83,4.96,9.47,73.11,44.09,68.15,38.01,28.56,49.39,32.43,10.57,6.25,5.75,14.76,62.67,32.61,46.43,17.03,38.5,20.06
2009-05-15,27.59,22.52,39.76,38.63,119.06,43.91,36.58,25.48,18.05,42.28,23.59,36.63,127.32,28.43,26.95,43.43,11.18,26.48,12.72,73.6,19.26,33.45,19.69,51.51,13.21,24.82,94.01,57.07,23.05,22.98,29.03,41.09,32.0,34.14,10.5,28.48,19.46,21.69,16.09,21.84,17.46,5.28,9.69,73.99,43.98,67.35,37.82,28.53,48.66,32.5,10.62,6.32,5.67,14.91,62.08,32.03,46.34,16.87,37.91,19.82
2009-05-18,28.59,24.29,38.95,39.86,123.17,44.65,40.42,25.97,18.39,43.58,24.15,38.08,135.61,28.87,27.79,45.03,11.71,26.23,12.87,75.95,20.06,33.82,20.18,52.67,13.89,25.44,96.98,57.2,24.96,24.08,29.54,42.87,33.82,34.12,11.54,30.3,20.59,23.13,16.34,22.07,17.55,5.29,10.42,76.04,45.59,67.88,38.37,28.91,49.06,33.17,10.93,6.46,5.95,15.17,63.33,34.18,46.98,17.63,37.61,20.42
2009-05-19,28.82,23.04,38.35,40.09,123.95,45.03,40.76,26.09,18.25,42.87,24.78,38.38,133.72,28.75,27.77,44.52,11.91,26.05,12.8,77.87,20.07,34.03,20.43,52.47,13.74,25.15,97.85,57.05,23.59,24.19,29.16,42.87,33.73,34.31,11.07,29.97,19.91,21.89,16.51,22.07,18.05,5.41,10.57,76.39,45.96,67.87,38.32,28.28,50.31,33.96,11.18,6.39,6.15,15.18,63.35,32.85,46.69,17.78,38.07,20.16
2009-05-20,29.01,22.29,38.59,40.05,122.42,45.42,40.44,26.37,18.31,43.04,24.79,38.44,129.25,28.61,27.41,44.15,11.97,26.11,12.81,77.97,19.86,34.32,20.59,52.21,13.62,25.7,96.49,56.49,22.67,24.07,28.12,43.39,33.4,34.66,11.3,29.47,19.46,21.18,16.8,21.89,18.11,5.2,10.54,75.85,46.89,69.5,38.22,28.0,50.57,32.19,10.82,6.47,6.28,14.96,62.53,31.7,48.76,17.51,38.76,20.59
2009-05-21,28.33,22.45,37.7,38.89,120.77,44.93,38.5,26.7,17.81,42.53,23.74,38.49,130.27,28.61,27.04,44.3,11.51,25.78,12.57,75.96,19.59,34.32,20.45,50.73,13.24,25.5,95.35,55.85,23.21,23.3,27.93,42.78,31.82,33.6,11.23,29.8,19.03,20.34,16.4,21.96,17.39,5.13,10.22,75.41,46.02,68.66,38.03,27.67,49.27,31.77,10.48,6.33,6.2,14.87,61.44,32.02,48.27,17.04,37.95,20.64
2009-05-22,28.16,21.75,37.52,38.58,119.14,45.0,37.65,26.56,17.75,42.83,23.52,38.93,129.5,28.7,26.85,44.43,11.38,25.79,12.68,75.64,19.59,34.17,20.72,50.3,13.03,25.45,94.49,55.82,22.53,23.7,27.83,42.67,30.72,33.53,10.89,28.14,18.92,20.32,16.89,22.43,17.34,5.06,10.18,74.9,46.03,68.63,38.25,28.48,49.27,31.69,10.5,6.37,6.17,14.98,61.83,31.57,49.48,16.86,37.87,20.9
2009-05-26,28.57,22.84,38.47,39.68,127.19,44.74,38.73,27.07,18.28,44.02,24.22,39.91,134.92,28.99,27.93,45.1,11.64,26.58,12.73,78.39,20.86,34.43,20.68,51.95,13.45,26.1,97.39,56.88,23.77,24.16,28.15,43.46,31.34,34.08,10.8,28.14,19.46,21.15,17.35,22.78,17.55,5.19,10.52,77.36,46.68,70.16,38.51,28.92,49.78,32.0,10.78,6.64,6.3,15.28,62.71,33.52,51.0,17.41,38.63,21.46
